as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-18,XME,BTU,PEABODY ENERGY CORP,,BDVPZV0,6473170.0,,3.316231,USD,,,,equity,web_csv
2026-06-18,XME,HYMC,HYCROFT MINING HOLDING CO A,US44862P2083,BS70KX1,5084412.0,,2.731852,USD,,,,equity,web_csv
2026-06-18,XME,KALU,KAISER ALUMINUM CORP,US4830077040,B15CJ33,668311.0,,2.52297,USD,,,,equity,web_csv
2026-06-18,XME,AMR,ALPHA METALLURGICAL RESOURCE,US0207641061,BMFND53,564326.0,,2.165618,USD,,,,equity,web_csv
2026-06-18,XME,IE,IVANHOE ELECTRIC INC / US,US46578C1080,BPF0KH6,8038082.0,,1.892925,USD,,,,equity,web_csv
2026-06-18,XME,UAMY,UNITED STATES ANTIMONY CORP,US9115491030,2910668,8506982.0,,1.379499,USD,,,,equity,web_csv
2026-06-18,XME,MUX,MCEWEN INC,US58039P3055,BQGD8H7,3277876.0,,1.312268,USD,,,,equity,web_csv
2026-06-18,XME,CMP,COMPASS MINERALS INTERNATION,US20451N1019,2202763,1608733.0,,1.016243,USD,,,,equity,web_csv
2026-06-18,XME,SXC,SUNCOKE ENERGY INC,US86722A1034,B3R0638,4160995.0,,0.742655,USD,,,,equity,web_csv
2026-06-18,XME,IDR,IDAHO STRATEGIC RESOURCES IN,US6458272050,BMB5CZ6,924402.0,,0.676754,USD,,,,fx,web_csv
2026-06-18,XME,WS,WORTHINGTON STEEL INC,US9821041012,BS70KN1,789542.0,,0.664302,USD,,,,equity,web_csv
2026-06-18,XME,RYZ,RYERSON HOLDING CORP,US7837541041,B3TPPZ6,1132246.0,,0.647883,USD,,,,equity,web_csv
2026-06-18,XME,CTGO,CONTANGO SILVER + GOLD INC,US21077F1003,B3ZY290,1822879.0,,0.639493,USD,,,,equity,web_csv
2026-06-18,XME,URG,UR ENERGY INC,,B0WW4L2,20558424.0,,0.637026,USD,,,,equity,web_csv
2026-06-18,XME,METC,RAMACO RESOURCES INC A,US75134P6007,BRXYZ91,2184877.0,,0.631424,USD,,,,equity,web_csv
2026-06-18,XME,ALOY,REALLOYS INC,,BSRFQG1,1605901.0,,0.589913,USD,,,,fx,web_csv
2026-06-18,XME,DC,DAKOTA GOLD CORP,US46655E1001,BMFTC10,5335439.0,,0.543367,USD,,,,equity,web_csv
2026-06-18,XME,ABAT,AMERICAN BATTERY TECHNOLOGY,,BQC80B4,8262629.0,,0.532536,USD,,,,equity,web_csv
2026-06-18,XME,LTBR,LIGHTBRIDGE CORP,,BKDNG30,2230893.0,,0.453011,USD,,,,equity,web_csv
2026-06-18,XME,MTUS,METALLUS INC,US8873991033,BNBPMX1,978430.0,,0.390291,USD,,,,equity,web_csv
2026-06-18,XME,,SSI US GOV MONEY MARKET CLASS,CASH,,990726.9,,0.020466,USD,,,,cash,web_csv
