as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-23,4COP,SFR AU,SANDFIRE RESOURCES LTD,AU000000SFR8,6739739,2978755.0,41147074.18,3.641,USD,,AU,,equity,web_csv
2026-06-23,4COP,CS CN,CAPSTONE COPPER CORP,CA14071L1085,BMY5XY9,4223569.0,40904436.52,3.619,USD,,CA,,equity,web_csv
2026-06-23,4COP,IVN CN,IVANHOE MINES LTD-CL A,CA46579R1047,BD73C40,5043088.0,39179616.58,3.467,USD,,CA,,equity,web_csv
2026-06-23,4COP,NDA GR,AURUBIS AG,DE0006766504,5485527,163105.0,36443999.7,3.225,USD,,DE,,equity,web_csv
2026-06-23,4COP,358 HK,JIANGXI COPPER CO LTD-H,CNE1000003K3,6000305,6506728.0,30189744.12,2.671,USD,,CN,,equity,web_csv
2026-06-23,4COP,2099 HK,CHINA GOLD INTERNATIONAL RES,CA16890P1036,B60FNV8,1530786.0,25516679.23,2.258,USD,,CA,,equity,web_csv
2026-06-23,4COP,1208 HK,MMG LTD,HK1208013172,6728793,25424129.0,24805135.49,2.195,USD,,HK,,equity,web_csv
2026-06-23,4COP,5711 JP,MITSUBISHI MATERIALS CORP,JP3903000002,6597089,796436.0,22825035.93,2.02,USD,,JP,,equity,web_csv
2026-06-23,4COP,ERO CN,ERO COPPER CORP,CA2960061091,BF02Z72,630820.0,17506115.87,1.549,USD,,CA,,equity,web_csv
2026-06-23,4COP,NGEX CN,NGEX MINERALS LTD,CA62930A1021,BVBCQW5,893790.0,15625193.03,1.383,USD,,CA,,equity,web_csv
2026-06-23,4COP,TGB,TASEKO MINES LTD,CA8765111064,2592066,2306357.0,15429528.33,1.365,USD,,CA,,equity,web_csv
2026-06-23,4COP,1258 HK,CHINA NONFERROUS MINING CORP,HK0000112026,B890GY2,8334874.0,13999705.46,1.239,USD,,HK,,equity,web_csv
